wtc_id,title_en,title_te,english,telugu_chars,english_chars,telugu_stanzas,english_stanzas,author,library_status,url
150,neevu chesina upakaaramulaku,నీవు చేసిన ఉపకారములకు నేనేమి చెల్లింతును,none,584,0,4,0,,in_library_exact,https://waytochurch.com/lyrics/song/150
151,nuthana geethamu paadedhanu,నూతన గీతము పాడెదను నా ప్రియుడేసునిలో,none,489,0,3,0,,missing,https://waytochurch.com/lyrics/song/151
152,o prabhuva neeve,ఓ ప్రభువా ఓ ప్రభువా నీవే నా మంచి కాపరివి నీవే నా మంచి కాపరివి,none,323,0,2,0,,missing,https://waytochurch.com/lyrics/song/152
153,o sadbhakthulara,ఓ సద్భక్తులారా లోక రక్షకుండు బెత్లె్హేమందు నేడు,none,601,0,4,0,,in_library_contained,https://waytochurch.com/lyrics/song/153
154,prabhuva neelo jeevinchuta ab,ప్రభువా నీలో జీవించుట కృపా బాహుళ్యమే నా యెడ కృపాబాహుళ్యమే,partial,512,631,4,3,Bro  Yesanna,missing,https://waytochurch.com/lyrics/song/154
155,pradhana yesuni sandharshana,ప్రార్ధన యేసుని సందర్శన పరమ తండ్రితో సంభాషణ,none,848,0,7,0,,in_library_exact,https://waytochurch.com/lyrics/song/155
156,prema yesuni prema,ప్రేమ యేసుని ప్రేమ అది ఎవ్వరు కొలువలేనిది,none,610,0,4,0,,in_library_exact,https://waytochurch.com/lyrics/song/156
157,rakshakundudhayinchi nadata,రక్షకుండుదయించి నాడట మన కొరకు బరమ రక్షకుండుదయించి,none,673,0,5,0,,missing,https://waytochurch.com/lyrics/song/157
158,randi yuchahinchi paadudhamu,రండి యుత్చాహించి పాడుదము రక్షణదుర్గము మన ప్రభువే,none,604,0,5,0,,missing,https://waytochurch.com/lyrics/song/158
159,saswathaa mynadhi neevu naayada,శాశ్వాతామైనదీ నీవు నా యెడ చూపినా కృప,none,525,0,4,0,,in_library_exact,https://waytochurch.com/lyrics/song/159
160,siluva chentha cherina nade,సిలువ చెంత చేరిననాడు కలుషములను కడిగివేయు,none,542,0,4,0,,in_library_contained,https://waytochurch.com/lyrics/song/160
161,stothra rupamagu krotha,స్తోత్రరూపమగు క్రొత్త గీతంబులన్ నా నోటనుంచెను నా యేసయ్యా,none,698,0,4,0,,missing,https://waytochurch.com/lyrics/song/161
162,sthuthi yagamu na yesuke,స్తుతి యాగము నా యేసుకే అర్పించెదను ఎల్లప్పుడు,none,661,0,5,0,,missing,https://waytochurch.com/lyrics/song/162
163,sthuthinchedanu stuthinchedanu,స్తుతించెదనుస్తుతించెదనూ,none,870,0,5,0,,in_library_exact,https://waytochurch.com/lyrics/song/163
164,sthuthincheda nee namam,స్తుతియించెదా నీ నామం దేవా అనుదినం,none,351,0,3,0,,in_library_exact,https://waytochurch.com/lyrics/song/164
165,వందనం బొనర్తుమో ప్రభో ప్రభో,వందనం బొనర్తుమో ప్రభో ప్రభో,none,757,0,5,0,,in_library_exact,https://waytochurch.com/lyrics/song/165
166,viswasa vanithalamu,విశ్వాస వనితలము ప్రభు యేసు ముద్రికలం,none,605,0,2,0,,missing,https://waytochurch.com/lyrics/song/166
167,yehova naa moralalinchenu,యెహోవా నా మొర లాలించను దన మహా దయనుననుగణీంచెను,none,755,0,5,0,,in_library_exact,https://waytochurch.com/lyrics/song/167
168,yehova ye naa kaapariga,యెహోవాయే నా కాపరిగా నాకేమి కొదువగునూ,none,503,0,4,0,,in_library_exact,https://waytochurch.com/lyrics/song/168
169,yese na parihaari,యేసే నా పరిహారి ప్రియ యేసే నా పరిహారి,none,683,0,5,0,,in_library_exact,https://waytochurch.com/lyrics/song/169
170,yesu rajula rajai,యేసు రాజు రాజుల రాజై త్వరగా వచ్చుచుండె త్వరగ,none,439,0,3,0,,in_library_contained,https://waytochurch.com/lyrics/song/170
171,yesutho teeviganu podama,యేసుతో ఠీవిగాను అడ్డుగా వచ్చువైరి గెల్వను,none,631,0,4,0,,missing,https://waytochurch.com/lyrics/song/171
172,yogyudavo yogyudavo,యోగ్యుడవో యోగ్యుడవో యేసు ప్రభో నీవె యోగ్యుడవో,none,507,0,3,0,"Bro  Raj , micheal paul",missing,https://waytochurch.com/lyrics/song/172
173,kaneerelamma karuninchu yesu ninu,కన్నీరేలమ్మ కరుణించు యేసు నిన్ను విడువబోడమ్మా,none,482,0,1,0,,in_library_exact,https://waytochurch.com/lyrics/song/173
174,shudhdhaa hrudhaayam kalugajeyumu,శుద్దా హ్రుదాయమ్ కలుగజెయుము,full,385,442,2,2,,missing,https://waytochurch.com/lyrics/song/174
175,nee premaye naku chalu,ణీ ప్రెమయె నకు చలు,full,401,478,0,0,,missing,https://waytochurch.com/lyrics/song/175
176,neevennallu rendu thalampulatho,నీవెన్నాళ్ళు రెండు తలంపులతో,full,446,523,0,0,,in_library_exact,https://waytochurch.com/lyrics/song/176
177,sri yesundu janminche reyilo,శ్రీ యేసుండు జన్మించె రేయిలో ||||,full,665,558,0,0,,in_library_exact,https://waytochurch.com/lyrics/song/177
178,shudhdhaa hrudayam,శుద్ధ హృదయం కలుగజేయుము,full,450,555,0,0,,in_library_exact,https://waytochurch.com/lyrics/song/178
179,shaashwathamu kaadu,శాశ్వతము కాదు ఈ లోకము,full,544,665,0,0,,in_library_exact,https://waytochurch.com/lyrics/song/179
180,vetakaani urilo nundi,వేటకాని ఉరిలో నుండి,full,314,401,0,0,,missing,https://waytochurch.com/lyrics/song/180
181,adavi chetla naduma,అడవి చెట్ల నడుమ – ఒక జల్దరు వృక్షం వలె,full,453,555,0,0,,in_library_exact,https://waytochurch.com/lyrics/song/181
182,adiginadi konthe ainaa,అడిగినది కొంతే అయినా,full,843,1054,0,0,,in_library_exact,https://waytochurch.com/lyrics/song/182
183,adugudi meeku ivvabadunu,అడుగుడి మీకు ఇవ్వబడును,full,624,738,0,0,,in_library_exact,https://waytochurch.com/lyrics/song/183
184,ade ade aa roju,అదే అదే ఆ రోజు,full,638,743,0,0,,in_library_exact,https://waytochurch.com/lyrics/song/184
