id,titleEn,titleTe,author,album,category,ragam,language,posted,url,teluguChars,englishChars
76,randeho vinarandeho,రండహో వినరండహో శుభ వార్త ఒకటి వినిపించెదం,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/76,543,0
77,randi yehova,రండి యెహోవాను గూర్చి ఉత్సాహగానము చేయుదము,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/77,459,0
78,rakada samayamulo,రాకడ సమయములో కడబూర శబ్దంలో,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/78,290,0
79,ruchi choochi yerigithini,రుచి చూచి ఎరిగితిని యెహోవా ఉత్తముడనియు,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/79,462,0
80,lekhaleni chukalenno,లెక్కలేని చుక్కలెన్నో చక్కగా వెలుగుచుండ,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/80,721,0
81,lekhimpaleni sthotramul,లెక్కింపలేని స్తోత్రముల్ దేవా ఎల్లప్పుడు నే పాడెదన్,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/81,416,0
82,vijaya gosha vinipinchenu,విజయ ఘోష వినిపించెను విశ్వమంత గళము లెత్తి వినిపించర స్తోత్ర గీతముల్,,,Easter,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/82,1211,0
83,vimochakudu mana prabhu,విమోచకుడు మన యేసు ప్రభువు అవతరించిన శుభ దినమే,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/83,530,0
84,sadaa kalamu neetho nenu,సదా కాలము నీతో నేను జీవించెదను యేసయ్యా,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/84,846,0
85,samipincha rani tejassulo,సమీపించరాని తెజేస్సులోనీవు వశియించువాడవయా,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/85,465,0
86,sarvakrupa nidi yagu prabhuva,సర్వకృపానిధియగు ప్రభువా సకల చరాచర సంతోషమా,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/86,420,0
87,sagipodhunu nenu aagi ponu nenu,సాగి పోదును ఆగి పోను నేను,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/87,498,0
88,silvalo naakai karchenu,సిల్వలో నాకై కార్చెను యేసు రక్తము,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/88,751,0
89,siluva yende needhu prema,సిలువయందె నీదు ప్రేమ తెలిసికొంటినో ప్రభు,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/89,245,0
90,srusti kartha yesuni sthutinchedamu,సృష్టికర్త యేసుని స్తుతించెదము సర్వసృష్టియు ప్రభు క్రియలే,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/90,527,0
91,srustipitha sarvonatha,సృష్టి పితా సర్వో న్నతా సమర్పింతున్ సర్వస్వమున్,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/91,413,0
92,stotram chellinthumu,స్తోత్రం చెల్లింతుము స్తుతి స్తోత్రం చెల్లింతుము,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/92,631,0
93,sri yesu geethi paadana,శ్రీ యేసు గీతి పాడవా ఆ సిల్వ ప్రేమ చాటవా,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/93,355,0
94,halleluya stuti mahima,హల్లెలూయ స్తుతి మహిమ ఎల్లప్పుడు దేవుని కిచ్చెదము,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/94,347,0
95,halleluya yesu prabhun,హల్లెలూయ యేసు ప్రభున్ ఎల్లరు స్తుతియించుడి,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/95,946,0
96,halleluya padedha prabhu ninu koniyadedhan fm,హల్లేలూయ పాడెద ప్రభు నిన్ను కొనియాడెదన్,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/96,544,0
107,ayane na sangeetham,ఆయెనె నా సంగీతము బలమైన కోటయును,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/107,477,0
108,abrahamu devuda,అబ్రహాము దేవుడవు ఇస్సాకు దేవుడవు,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/108,644,0
109,aaradhana adhika stotram,ఆరాధన అధిక స్తోత్రము నా యేసుకే నేనర్పింతును,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/109,306,0
110,,చాటించుడి మనుష్య జాతి కేసు నామము చాటించుడి యవశ్య యేసు ప్రేమ సారము,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/110,481,0
111,chintha ledika yesu puttenu,చింత లేదిక యేసు పుట్టెను,,andhra Kristava Keerthanalu,Christmas,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/111,552,0
112,chudumu gesthemane,చూడుము గెత్సెమనె తోటలో నా ప్రియుడు,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/112,691,0
113,deva mahonnathuda,దేవా మహోన్నతుడా మహిమా ప్రకాశితుడా,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/113,314,0
114,deva nee yavaranam,దేవా నీ యావరణం మాకెంతో శ్రేయస్కరం,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/114,665,0
115,deva samsthuthi cheyave manasa,దేవ సంస్తుతి చేయవే మనసా శ్రీమంతుడగు యెహోవ సంస్తుతి,,Andhra Kristhava Keerthanalu,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/115,1688,0
116,dhevara nee dheevenalu,దేవర నీ దీవెనలు ధారళముగను వీరలపై,,andhra Kristava Keerthanalu,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/116,925,0
117,dhevuni sthuthiyinchudi ellapudu,దేవుని స్తుతియించుడి యెల్లాప్పుడు దేవుని స్తతియించుడి ఆ,,andhra Kristava Keerthanalu,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/117,1008,0
118,dhevuni upakarambulalona,దేవుని ఉపకారంబులలోన దేనిని మరువకుము,,andhra Kristava Keerthanalu,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/118,414,0
119,dhevuni yandhu nireekshana,దేవుని యందు నిరీక్షణనుంచి ఆయనను స్తుతించు నా ప్రాణమా,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/119,773,0
120,dhevuniki stotramu ganamu cheyutaye,దేవునికి స్తోత్రము గానము చేయుటయే మంచిది,,andhra Kristava Keerthanalu,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/120,574,0
121,dhootha paata paadudi,దూత పాట పాడుడి రక్షకున్ స్తుతించుడి ఆ ప్రభుండు,,andhra Kristava Keerthanalu,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/121,547,0
122,goppa dhevudavani shakthi,గొప్పా దేవుడవని శక్తి సంపన్నుడని గలమెత్తి నిన్ను నేను గాణమాడెదన్,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/122,534,0
123,halleluya ani paadi sthuthimpanu,హల్లెలూయ యని పాడి స్తుతింపను రారె జనులారా మనసారా ఊరూర,,,Gospel,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/123,691,0
124,halleluya paata yesaiah paata,హల్లేలూయ పాట యెసయ్య పాట,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/124,310,0
125,idhigo dheva naa jeevitham,ఇదిగో దేవా నా జీవితం ఆపాద మస్తకం నీకంకితం,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/125,703,0
126,Varninchaleni thyaagam oodaarpu nondhani vainam,వర్ణించలేని త్యాగం ఓదార్పు నొందని వైనం,Dr Y Vijay Kumar,,Good Friday,,Telugu,2024-03-27,https://waytochurch.com/lyrics/song/126,1463,1765
127,kanna thalli cherchunatlu,కన్నతల్లి చేర్చునట్లు నన్ను చేర్చు నా ప్రియుడు,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/127,310,0
128,kristhulo jeevinchu naaku,క్రీస్తులో జీవించు నాకు ఎల్లాప్పుడు జయముండును,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/128,440,0
129,krotha yedu modalu bettenu,క్రొత్త యెడు మొదలు బెట్టెను మన బ్రతుకు నందు క్రొత్త యెడు,,andhra Kristava Keerthanalu,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/129,975,0
130,krupa sathya sampurnuda,కృపా సత్యా సంపూర్ణుడా,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/130,531,0
