source_id,song_name,author,stanzas,main_te_lines,main_en_lines,warnings
3973,Reference: AathmaviShyamai Dheenulainavaaru Dhanyulu; Paraloakaraajyamu,,6,1,1,unbroken-lines
3986,Reference: Anyadhaevathalanu Paaravaeyumu AadhikaaMdamu Genesis,,0,1,1,unbroken-lines
4013,Reference: Adavi VrukShmulaloa Jaldharu VrukShmetlunnadhoa,,0,1,1,unbroken-lines
4015,Reference: Aayana Thana Siluva Moasikoni,,0,1,1,unbroken-lines
4037,Reference: Vishvaasamunaku Karthayu Dhaanini KonasaagiMchuvaadunaina,,0,1,1,unbroken-lines
4059,Reference: Gaddi YeMdipoavunu. Dhaani Puvvu,,1,1,1,unbroken-lines
4061,"Reference: Aayananu AaraaDhiMchuvaaru Aathmathoanu, Sathyamuthoanu",,0,1,1,unbroken-lines
5539,Aakaashambun DoothaluUthsaahinchi PaadiriPutte RakshakundaniSanthasinchi AadiriSarvonnathamaina,,0,1,1,unbroken-lines
5542,Amdhaala Thaara Arudhemchi Naakai Ambhara Veedhiloa,,0,1,1,unbroken-lines
5543,Adhvitheeya Sathyadhaevaa Vmdhanm,,0,1,1,unbroken-lines
5544,Anniti Kannaa Praarthanae Minn,,0,1,1,unbroken-lines
5545,Agni Mmdimchu Naaloa Agni Mmdimchu,,0,1,1,unbroken-lines
5546,Aalaymloa Pravaeshimchmdi Amdharu,,0,5,5,
5547,Aanmdha Smdhrmbuna Naa Jeevitha Naavanu,,0,1,1,unbroken-lines
5548,Aahaa Aanmdhamae Mahaa Smthoashmae,,0,1,1,unbroken-lines
5549,Ibaadhath Karoa,,0,1,1,unbroken-lines
5550,Idhi Mattalaadhi Vaarm Idhi Maha Parvadhinamu,,0,1,1,unbroken-lines
5631,Aha Aanandame Maha Aanandame Yesu Putte Ilalo,Mary Vijay Nanneti,0,1,1,unbroken-lines
5650,Amdhamae Roopu Dhaalche Dhaiva Vaakkunakae,,0,1,1,unbroken-lines
5651,Anni Naamamula Kanna Ghanamaina Naamamu Needhi Yaesu Naathaa,,0,1,1,unbroken-lines
5652,Adavi Vrukshmulaloa Jaldharu Vrukshmu Metlunnadhoa,,0,1,1,unbroken-lines
5653,Aaraadhimchedhanu Ninnu Naa Yaesayyaa Aathmathoa Sathyamuthoa,,0,2,2,
5654,Aashapadaku Ee Loakm Koasm Chellemmaa,,0,1,1,unbroken-lines
5656,Innaellu Ilaloa Unnaamu Manamu Challani Dhaevuni Needaloa,,0,1,1,unbroken-lines
5745,Aadhaarm Naaku Aadhaarm Naaku Thoadu Needaiyunna,,0,1,1,unbroken-lines
5749,Innaallu Thoadugaa Maathoa Nadichaavu,,0,1,1,unbroken-lines
5750,Annivaelalaa Aadharimchedi Aathmaroopee Neekae Vmdhanm,,0,1,1,unbroken-lines
5772,Aasrayuda Naa Abhishaktuda,,0,1,1,unbroken-lines
5776,Ananthuda Adarinche Yesayya,"krupa ministries, Guntur",0,1,0,no-english-lyrics; unbroken-lines
5778,Ikanaina Kaani Ipudaina Kaani,,0,1,0,no-english-lyrics; unbroken-lines
5799,Arambinchedha Yesu Neelo Prathi Dhinam,,0,1,0,no-english-lyrics; unbroken-lines
5800,ఇంటి మీదనున్న ఒంటరి పిచ్చుకను నేను నా బలమా ఆలకించుమా,,0,1,0,no-english-lyrics; unbroken-lines; title-telugu-only
5819,Ascharyamou Anugraham,,0,1,0,no-english-lyrics; unbroken-lines
5833,Athyunnatha Simhasanamupai Hosanna,Bro  Yesanna,0,1,1,unbroken-lines
5837,Amen Halleluya,,0,1,0,no-english-lyrics; unbroken-lines
5848,Aakasaana Sukkaelise,madhu sudhakar babu,2,1,0,no-english-lyrics; unbroken-lines; stanza-count-mismatch te=2 en=0
5849,Aaraadhana Aaraadhana Atmatho Aaraadhana,,1,1,0,no-english-lyrics; unbroken-lines; stanza-count-mismatch te=1 en=0
5857,ఇదే దినం ఇదేదినం –,This is the day that the Lord has mad,0,1,0,no-english-lyrics; unbroken-lines; title-telugu-only
5925,Athikaankshaniyyuda Naa Yesayyaa,,0,1,0,no-english-lyrics; unbroken-lines
5963,Idi Nyayama Idi Dharmama,,0,1,0,no-english-lyrics; unbroken-lines
5969,Apathkalamandu Yehovah,,0,1,0,no-english-lyrics; unbroken-lines
5970,Aardhya Daivama Na Prana,,0,1,0,no-english-lyrics; unbroken-lines
5971,Aaradinthu Aaradinthu Yesayya,,0,1,0,no-english-lyrics; unbroken-lines
5973,Aascharyamaina Prema,,0,1,0,no-english-lyrics; unbroken-lines
5979,Aa Halleluyaa,,0,1,0,no-english-lyrics; unbroken-lines
5981,Aaraadhanaku Yogyudaa,,2,1,1,unbroken-lines; stanza-count-mismatch te=2 en=0
5982,Aaraadhna Naa Yesuke,,0,1,1,unbroken-lines
5983,Aakaasha Vaasulaara Yehovanu Stutiyinchudi,,0,1,1,unbroken-lines
5984,Adhaaram Neevenayyaa,,2,1,0,no-english-lyrics; unbroken-lines; stanza-count-mismatch te=2 en=0
5985,Ambara Veedhilo Sambaram Gaanchiri,,0,1,0,no-english-lyrics; unbroken-lines
5986,Anandame Paramaanandame,,0,1,0,no-english-lyrics; unbroken-lines
5987,Anchulanundi Jaarela,Dr A R stevenson,0,1,0,no-english-lyrics; unbroken-lines
5988,Andaru Nannu Vidachina,,3,1,0,no-english-lyrics; unbroken-lines; stanza-count-mismatch te=3 en=0
5989,Anni Naamamula Kanna Pai Naamau,,0,1,0,no-english-lyrics; unbroken-lines
5990,Atyunnatamainadi Yesu Naamam,Samuel Finny Pachigalla,0,1,0,no-english-lyrics; unbroken-lines
6003,Aa Dari Chere Daare Kanaraadu,,0,1,1,unbroken-lines
6014,Annayya Thellaarindi Leraa,,0,1,1,unbroken-lines
6020,Anni Velala Vinuvaadu Nee Praardhanalanniyu,,0,1,1,unbroken-lines
6032,Anni Saadhyame Yesuku Anni Saadhyame,,0,1,1,unbroken-lines
6049,Idenaa Nyaayamidiyenaa,,0,1,1,unbroken-lines
6050,Andamaina Madhuramaina Naamam Evaridi,,0,1,1,unbroken-lines
6055,Anjali Ghatiyinthu Devaa (2)nee Manjula,,0,1,1,unbroken-lines
6058,Idi Shubhodayam – Kreesthu Janmadinamidi,,0,1,1,unbroken-lines
